Zip,Price,Area,Room,PriceSqm
1018 AK,575000.0,72,2,7986.111111111111
1107 RA,250000.0,70,3,3571.4285714285716
1019 AX,975000.0,165,5,5909.090909090909
1052 KB,375000.0,52,2,7211.538461538462
1096 GG,1100000.0,159,5,6918.238993710692
1013 BD,750000.0,102,3,7352.941176470588
1011 TE,439000.0,55,3,7981.818181818182
1091 PW,375000.0,57,2,6578.9473684210525
1011 MP,445000.0,66,3,6742.424242424242
1024 TR,325000.0,77,4,4220.779220779221
1056 KM,415000.0,57,2,7280.701754385965
1053 PA,300000.0,43,2,6976.7441860465115
1015 DC,915000.0,88,5,10397.727272727272
1060 NM,685000.0,183,6,3743.1693989071036
1057 PZ,350000.0,50,3,7000.0
1077 KB,1025000.0,135,4,7592.592592592592
1018 ZW,895000.0,177,4,5056.497175141243
1058 EM,350000.0,59,2,5932.203389830508
1063 LW,265000.0,65,3,4076.923076923077
1066 TM,500000.0,100,4,5000.0
1107 EX,295000.0,106,4,2783.0188679245284
1077 MR,1175000.0,159,7,7389.937106918239
1016 BE,995000.0,113,3,8805.309734513274
1072 RW,385000.0,54,2,7129.62962962963
1053 RV,550000.0,89,4,6179.775280898876
1053 GD,325000.0,40,2,8125.0
1102 HB,225000.0,62,2,3629.032258064516
1083 AT,395000.0,66,3,5984.848484848485
1067 VR,425000.0,102,4,4166.666666666667
1016 XA,525000.0,64,4,8203.125
1065 LH,800000.0,132,6,6060.606060606061
1068 EK,400000.0,88,4,4545.454545454545
1024 HL,250000.0,50,2,5000.0
1051 CW,360000.0,41,2,8780.487804878048
1095 MD,1050000.0,154,4,6818.181818181818
1024 ML,799000.0,230,8,3473.913043478261
1017 WG,1700000.0,194,6,8762.886597938144
1082 BG,825000.0,178,7,4634.831460674157
1063 TZ,290000.0,50,2,5800.0
1015 AA,469000.0,50,3,9380.0
1017 AG,625000.0,74,3,8445.945945945947
1018 XH,1050000.0,149,8,7046.979865771812
1033 VK,540000.0,79,4,6835.443037974684
1104 TT,285000.0,96,4,2968.75
1087 VS,859000.0,168,3,5113.0952380952385
1025 HW,275000.0,63,2,4365.079365079365
1060 PR,525000.0,153,6,3431.372549019608
1065 EX,375000.0,73,4,5136.986301369863
1068 CK,399500.0,89,2,4488.76404494382
1068 PM,430000.0,103,4,4174.757281553398
1096 CR,1300000.0,141,4,9219.85815602837
1082 MR,1750000.0,130,3,13461.538461538461
1015 MT,950000.0,109,4,8715.59633027523
1012 RT,1450000.0,150,3,9666.666666666666
1104 EA,285000.0,69,3,4130.434782608696
1055 KB,300000.0,54,2,5555.555555555556
1081 JR,1500000.0,166,4,9036.144578313253
1077 XR,685000.0,107,4,6401.869158878505
1012 JS,4495000.0,178,5,25252.808988764045
1035 PP,989000.0,171,5,5783.625730994152
1027 AE,765000.0,100,4,7650.0
1083 AJ,900000.0,159,9,5660.377358490566
1098 JR,665000.0,118,4,5635.593220338983
1017 ZM,2475000.0,183,4,13524.590163934427
1061 DJ,475000.0,98,4,4846.938775510204
1024 VE,300000.0,78,4,3846.153846153846
1064 PE,350000.0,103,4,3398.0582524271845
1091 DA,450000.0,45,2,10000.0
1066 DJ,600000.0,145,4,4137.931034482759
1051 TS,350000.0,39,2,8974.358974358975
1058 EE,595000.0,100,3,5950.0
1053 RD,335000.0,42,2,7976.190476190476
1077 ES,1295000.0,154,4,8409.09090909091
1071 ED,825000.0,103,3,8009.708737864078
1017 EL,5950000.0,394,10,15101.522842639593
1108 BR,325000.0,85,4,3823.529411764706
1069 KA,450000.0,115,3,3913.0434782608695
1012 WP,1450000.0,125,2,11600.0
1061 AH,585000.0,99,3,5909.090909090909
1015 MZ,1200000.0,105,4,11428.57142857143
1071 BZ,1550000.0,153,5,10130.718954248367
1013 BH,1250000.0,147,4,8503.401360544218
1015 BK,998000.0,121,2,8247.933884297521
1057 ZW,395000.0,54,3,7314.814814814815
1017 DN,935000.0,85,3,11000.0
1018 VG,1050000.0,63,3,16666.666666666668
1012 BJ,729000.0,110,5,6627.272727272727
1060 TH,699000.0,130,5,5376.923076923077
1060 LP,1500000.0,255,7,5882.35294117647
1087 SM,400000.0,25,2,16000.0
1055 VJ,550000.0,102,4,5392.156862745098
1016 ST,950000.0,133,7,7142.857142857143
1071 RK,975000.0,93,3,10483.870967741936
1068 WT,295000.0,79,3,3734.1772151898736
1067 XN,350000.0,71,4,4929.577464788732
1096 CR,685000.0,110,4,6227.272727272727
1058 AH,1499000.0,245,8,6118.367346938776
1016 JC,1275000.0,165,5,7727.272727272727
1017 NJ,375000.0,38,1,9868.421052631578
1015 BT,1595000.0,199,6,8015.075376884422
1018 AD,439000.0,48,2,9145.833333333334
1057 HW,785000.0,95,5,8263.157894736842
1021 HJ,395000.0,68,3,5808.823529411765
1013 GE,595000.0,78,3,7628.205128205128
1011 LM,875000.0,117,3,7478.6324786324785
1017 BA,295000.0,29,2,10172.413793103447
1082 KA,520000.0,80,2,6500.0
1076 SP,439000.0,57,3,7701.754385964912
1092 BT,410000.0,66,4,6212.121212121212
1015 WE,275000.0,23,1,11956.521739130434
1015 SH,2450000.0,259,8,9459.45945945946
1051 CW,350000.0,45,2,7777.777777777777
1091 EN,1795000.0,158,6,11360.759493670887
1015 GJ,835000.0,120,5,6958.333333333333
1012 RN,985000.0,111,5,8873.873873873874
1051 VB,425000.0,56,2,7589.285714285715
1011 AW,635000.0,58,3,10948.275862068966
1011 DG,999500.0,151,3,6619.205298013245
1054 ES,1050000.0,151,4,6953.64238410596
